NodeId,Op,Type,BufId,Cycles,Start,End
23,ALLOC,UB,11.0,0,629,629
32,ALLOC,UB,16.0,0,641,641
76,ALLOC,UB,38.0,0,716,716
85,ALLOC,UB,43.0,0,728,728
125,ALLOC,UB,63.0,0,801,801
134,ALLOC,UB,68.0,0,813,813
174,ALLOC,UB,88.0,0,888,888
183,ALLOC,UB,93.0,0,900,900
223,ALLOC,UB,113.0,0,900,900
232,ALLOC,UB,118.0,0,900,900
235,ALLOC,UB,120.0,0,981,981
237,ALLOC,UB,121.0,0,981,981
239,ALLOC,UB,122.0,0,981,981
241,ALLOC,UB,123.0,0,981,981
243,ALLOC,UB,124.0,0,981,981
245,ALLOC,UB,125.0,0,981,981
247,ALLOC,UB,126.0,0,981,981
249,ALLOC,UB,127.0,0,993,993
300,ALLOC,UB,152.0,0,993,993
309,ALLOC,UB,157.0,0,993,993
312,ALLOC,UB,159.0,0,1068,1068
314,ALLOC,UB,160.0,0,1068,1068
316,ALLOC,UB,161.0,0,1068,1068
318,ALLOC,UB,162.0,0,1068,1068
320,ALLOC,UB,163.0,0,1068,1068
322,ALLOC,UB,164.0,0,1068,1068
324,ALLOC,UB,165.0,0,1068,1068
326,ALLOC,UB,166.0,0,1080,1080
373,ALLOC,UB,189.0,0,1080,1080
382,ALLOC,UB,194.0,0,1080,1080
385,ALLOC,UB,196.0,0,1153,1153
387,ALLOC,UB,197.0,0,1153,1153
389,ALLOC,UB,198.0,0,1153,1153
391,ALLOC,UB,199.0,0,1153,1153
393,ALLOC,UB,200.0,0,1153,1153
395,ALLOC,UB,201.0,0,1153,1153
397,ALLOC,UB,202.0,0,1153,1153
399,ALLOC,UB,203.0,0,1165,1165
446,ALLOC,UB,226.0,0,1165,1165
455,ALLOC,UB,231.0,0,1165,1165
458,ALLOC,UB,233.0,0,1240,1240
460,ALLOC,UB,234.0,0,1240,1240
462,ALLOC,UB,235.0,0,1240,1240
464,ALLOC,UB,236.0,0,1240,1240
466,ALLOC,UB,237.0,0,1240,1240
468,ALLOC,UB,238.0,0,1240,1240
470,ALLOC,UB,239.0,0,1240,1240
472,ALLOC,UB,240.0,0,1252,1252
523,ALLOC,UB,265.0,0,1252,1252
532,ALLOC,UB,270.0,0,1252,1252
535,ALLOC,UB,272.0,0,1335,1335
537,ALLOC,UB,273.0,0,1335,1335
539,ALLOC,UB,274.0,0,1335,1335
541,ALLOC,UB,275.0,0,1335,1335
543,ALLOC,UB,276.0,0,1335,1335
545,ALLOC,UB,277.0,0,1335,1335
547,ALLOC,UB,278.0,0,1335,1335
549,ALLOC,UB,279.0,0,1349,1349
600,ALLOC,UB,304.0,0,1349,1349
609,ALLOC,UB,309.0,0,1349,1349
612,ALLOC,UB,311.0,0,1438,1438
614,ALLOC,UB,312.0,0,1438,1438
616,ALLOC,UB,313.0,0,1438,1438
618,ALLOC,UB,314.0,0,1438,1438
620,ALLOC,UB,315.0,0,1438,1438
622,ALLOC,UB,316.0,0,1438,1438
624,ALLOC,UB,317.0,0,1438,1438
626,ALLOC,UB,318.0,0,1452,1452
673,ALLOC,UB,341.0,0,1452,1452
682,ALLOC,UB,346.0,0,1452,1452
685,ALLOC,UB,348.0,0,1539,1539
687,ALLOC,UB,349.0,0,1539,1539
689,ALLOC,UB,350.0,0,1539,1539
691,ALLOC,UB,351.0,0,1539,1539
693,ALLOC,UB,352.0,0,1539,1539
695,ALLOC,UB,353.0,0,1539,1539
697,ALLOC,UB,354.0,0,1539,1539
699,ALLOC,UB,355.0,0,1553,1553
746,ALLOC,UB,378.0,0,1553,1553
755,ALLOC,UB,383.0,0,1553,1553
758,ALLOC,UB,385.0,0,1642,1642
760,ALLOC,UB,386.0,0,1642,1642
762,ALLOC,UB,387.0,0,1642,1642
764,ALLOC,UB,388.0,0,1642,1642
766,ALLOC,UB,389.0,0,1642,1642
768,ALLOC,UB,390.0,0,1642,1642
770,ALLOC,UB,391.0,0,1642,1642
772,ALLOC,UB,392.0,0,1656,1656
823,ALLOC,UB,417.0,0,1656,1656
832,ALLOC,UB,422.0,0,1656,1656
835,ALLOC,UB,424.0,0,1656,1656
837,ALLOC,UB,425.0,0,1656,1656
839,ALLOC,UB,426.0,0,1656,1656
841,ALLOC,UB,427.0,0,1656,1656
843,ALLOC,UB,428.0,0,1656,1656
845,ALLOC,UB,429.0,0,1656,1656
847,ALLOC,UB,430.0,0,1656,1656
849,ALLOC,UB,431.0,0,1656,1656
885,ALLOC,UB,449.0,0,1656,1656
910,ALLOC,UB,459.0,0,1656,1656
919,ALLOC,UB,464.0,0,1656,1656
922,ALLOC,UB,466.0,0,1656,1656
924,ALLOC,UB,467.0,0,1656,1656
926,ALLOC,UB,468.0,0,1656,1656
928,ALLOC,UB,469.0,0,1656,1656
930,ALLOC,UB,470.0,0,1656,1656
932,ALLOC,UB,471.0,0,1656,1656
934,ALLOC,UB,472.0,0,1656,1656
936,ALLOC,UB,473.0,0,1656,1656
968,ALLOC,UB,489.0,0,1656,1656
993,ALLOC,UB,499.0,0,1656,1656
1002,ALLOC,UB,504.0,0,1656,1656
1005,ALLOC,UB,506.0,0,1656,1656
1007,ALLOC,UB,507.0,0,1656,1656
1009,ALLOC,UB,508.0,0,1656,1656
1011,ALLOC,UB,509.0,0,1656,1656
1013,ALLOC,UB,510.0,0,1656,1656
1015,ALLOC,UB,511.0,0,1656,1656
1017,ALLOC,UB,512.0,0,1656,1656
1019,ALLOC,UB,513.0,0,1656,1656
1051,ALLOC,UB,529.0,0,1656,1656
1076,ALLOC,UB,539.0,0,1656,1656
1085,ALLOC,UB,544.0,0,1663,1663
1088,ALLOC,UB,546.0,0,1663,1663
1090,ALLOC,UB,547.0,0,1663,1663
1092,ALLOC,UB,548.0,0,1663,1663
1094,ALLOC,UB,549.0,0,1663,1663
1096,ALLOC,UB,550.0,0,1707,1707
1098,ALLOC,UB,551.0,0,1707,1707
1100,ALLOC,UB,552.0,0,1707,1707
1102,ALLOC,UB,553.0,0,1707,1707
1134,ALLOC,UB,569.0,0,1713,1713
24,ALLOC,UB,12.0,0,1713,1713
33,ALLOC,UB,17.0,0,1713,1713
77,ALLOC,UB,39.0,0,1713,1713
86,ALLOC,UB,44.0,0,1713,1713
126,ALLOC,UB,64.0,0,1713,1713
135,ALLOC,UB,69.0,0,1713,1713
175,ALLOC,UB,89.0,0,1713,1713
184,ALLOC,UB,94.0,0,1713,1713
224,ALLOC,UB,114.0,0,1713,1713
233,ALLOC,UB,119.0,0,1713,1713
301,ALLOC,UB,153.0,0,1713,1713
310,ALLOC,UB,158.0,0,1713,1713
374,ALLOC,UB,190.0,0,1713,1713
383,ALLOC,UB,195.0,0,1713,1713
447,ALLOC,UB,227.0,0,1713,1713
456,ALLOC,UB,232.0,0,1713,1713
524,ALLOC,UB,266.0,0,1713,1713
533,ALLOC,UB,271.0,0,1713,1713
601,ALLOC,UB,305.0,0,1713,1713
610,ALLOC,UB,310.0,0,1713,1713
674,ALLOC,UB,342.0,0,1713,1713
683,ALLOC,UB,347.0,0,1713,1713
747,ALLOC,UB,379.0,0,1713,1713
756,ALLOC,UB,384.0,0,1713,1713
824,ALLOC,UB,418.0,0,1713,1713
833,ALLOC,UB,423.0,0,1713,1713
911,ALLOC,UB,460.0,0,1713,1713
920,ALLOC,UB,465.0,0,1713,1713
994,ALLOC,UB,500.0,0,1713,1713
1003,ALLOC,UB,505.0,0,1713,1713
1077,ALLOC,UB,540.0,0,1713,1713
1086,ALLOC,UB,545.0,0,1713,1713
5,ALLOC,L0A,3.0,0,1713,1713
6,ALLOC,L0B,4.0,0,1713,1713
14,ALLOC,L0A,7.0,0,1713,1713
15,ALLOC,L0B,8.0,0,1713,1713
19,ALLOC,UB,9.0,0,1713,1713
20,ALLOC,UB,10.0,0,1713,1713
26,ALLOC,UB,13.0,0,1713,1713
28,ALLOC,UB,14.0,0,1713,1713
30,ALLOC,UB,15.0,0,1713,1713
53,ALLOC,UB,27.0,0,1713,1713
55,ALLOC,UB,28.0,0,1713,1713
72,ALLOC,UB,36.0,0,1713,1713
73,ALLOC,UB,37.0,0,1713,1713
79,ALLOC,UB,40.0,0,1713,1713
81,ALLOC,UB,41.0,0,1713,1713
83,ALLOC,UB,42.0,0,1713,1713
102,ALLOC,UB,52.0,0,1713,1713
104,ALLOC,UB,53.0,0,1713,1713
121,ALLOC,UB,61.0,0,1713,1713
122,ALLOC,UB,62.0,0,1713,1713
128,ALLOC,UB,65.0,0,1713,1713
130,ALLOC,UB,66.0,0,1713,1713
132,ALLOC,UB,67.0,0,1713,1713
151,ALLOC,UB,77.0,0,1713,1713
153,ALLOC,UB,78.0,0,1713,1713
170,ALLOC,UB,86.0,0,1713,1713
171,ALLOC,UB,87.0,0,1713,1713
177,ALLOC,UB,90.0,0,1713,1713
179,ALLOC,UB,91.0,0,1713,1713
181,ALLOC,UB,92.0,0,1713,1713
200,ALLOC,UB,102.0,0,1713,1713
202,ALLOC,UB,103.0,0,1713,1713
219,ALLOC,UB,111.0,0,1713,1713
220,ALLOC,UB,112.0,0,1713,1713
226,ALLOC,UB,115.0,0,1713,1713
228,ALLOC,UB,116.0,0,1713,1713
230,ALLOC,UB,117.0,0,1713,1713
269,ALLOC,UB,137.0,0,1713,1713
270,ALLOC,UB,138.0,0,1713,1713
273,ALLOC,UB,139.0,0,1713,1713
274,ALLOC,UB,140.0,0,1713,1713
277,ALLOC,UB,141.0,0,1713,1713
279,ALLOC,UB,142.0,0,1713,1713
281,ALLOC,UB,143.0,0,1713,1713
283,ALLOC,UB,144.0,0,1713,1713
