NodeId,Op,Type,BufId,Cycles,Start,End
0,ALLOC,L1,0.0,0,116,116
1,ALLOC,L1,1.0,0,124,124
2,ALLOC,L1,2.0,0,124,124
3,COPY_IN,,,0,0,0
14,ALLOC,L1,7.0,0,144,144
16,ALLOC,L1,9.0,0,152,152
38,ALLOC,L1,19.0,0,1106,1106
40,ALLOC,L1,21.0,0,1120,1120
258,ALLOC,L1,129.0,0,1213,1213
260,ALLOC,L1,131.0,0,1275,1275
321,ALLOC,L1,159.0,0,1543,1543
323,ALLOC,L1,161.0,0,1580,1580
325,ALLOC,L1,163.0,0,1641,1641
327,ALLOC,L1,165.0,0,1694,1694
369,ALLOC,L1,183.0,0,1835,1835
371,ALLOC,L1,185.0,0,1872,1872
373,ALLOC,L1,187.0,0,1933,1933
375,ALLOC,L1,189.0,0,1974,1974
417,ALLOC,L1,207.0,0,2149,2149
419,ALLOC,L1,209.0,0,2171,2171
421,ALLOC,L1,211.0,0,2193,2193
423,ALLOC,L1,213.0,0,2219,2219
15,ALLOC,L1,8.0,0,2219,2219
17,ALLOC,L1,10.0,0,2219,2219
39,ALLOC,L1,20.0,0,2219,2219
41,ALLOC,L1,22.0,0,2219,2219
259,ALLOC,L1,130.0,0,2219,2219
261,ALLOC,L1,132.0,0,2219,2219
282,ALLOC,L1,141.0,0,2219,2219
284,ALLOC,L1,143.0,0,2219,2219
286,ALLOC,L1,145.0,0,2219,2219
322,ALLOC,L1,160.0,0,2219,2219
324,ALLOC,L1,162.0,0,2219,2219
326,ALLOC,L1,164.0,0,2219,2219
328,ALLOC,L1,166.0,0,2219,2219
370,ALLOC,L1,184.0,0,2219,2219
372,ALLOC,L1,186.0,0,2219,2219
374,ALLOC,L1,188.0,0,2219,2219
376,ALLOC,L1,190.0,0,2219,2219
418,ALLOC,L1,208.0,0,2219,2219
420,ALLOC,L1,210.0,0,2219,2219
422,ALLOC,L1,212.0,0,2219,2219
424,ALLOC,L1,214.0,0,2219,2219
283,ALLOC,L1,142.0,0,2219,2219
285,ALLOC,L1,144.0,0,2219,2219
287,ALLOC,L1,146.0,0,2219,2219
234,ALLOC,L1,117.0,0,2219,2219
236,ALLOC,L1,119.0,0,2219,2219
8,ALLOC,L0B,5.0,0,2219,2219
11,ALLOC,L0B,6.0,0,2219,2219
26,ALLOC,L0B,15.0,0,2219,2219
29,ALLOC,L0B,16.0,0,2219,2219
32,ALLOC,L0B,17.0,0,2219,2219
35,ALLOC,L0B,18.0,0,2219,2219
50,ALLOC,L0B,27.0,0,2219,2219
53,ALLOC,L0B,28.0,0,2219,2219
56,ALLOC,L0B,29.0,0,2219,2219
59,ALLOC,L0B,30.0,0,2219,2219
84,ALLOC,L0B,43.0,0,2219,2219
87,ALLOC,L0B,44.0,0,2219,2219
345,ALLOC,L0B,175.0,0,2219,2219
348,ALLOC,L0B,176.0,0,2219,2219
351,ALLOC,L0B,177.0,0,2219,2219
354,ALLOC,L0B,178.0,0,2219,2219
357,ALLOC,L0B,179.0,0,2219,2219
360,ALLOC,L0B,180.0,0,2219,2219
363,ALLOC,L0B,181.0,0,2219,2219
366,ALLOC,L0B,182.0,0,2219,2219
393,ALLOC,L0B,199.0,0,2219,2219
396,ALLOC,L0B,200.0,0,2219,2219
399,ALLOC,L0B,201.0,0,2219,2219
402,ALLOC,L0B,202.0,0,2219,2219
405,ALLOC,L0B,203.0,0,2219,2219
408,ALLOC,L0B,204.0,0,2219,2219
411,ALLOC,L0B,205.0,0,2219,2219
414,ALLOC,L0B,206.0,0,2219,2219
441,ALLOC,L0B,223.0,0,2219,2219
444,ALLOC,L0B,224.0,0,2219,2219
447,ALLOC,L0B,225.0,0,2219,2219
450,ALLOC,L0B,226.0,0,2219,2219
4,ALLOC,L1,3.0,0,2219,2219
5,COPY_IN,,,0,0,0
9,MOVE,,,30,0,30
1752,FREE,L1,3.0,0,2219,2219
10,CONV,,,30,0,30
1754,FREE,L0B,5.0,0,2219,2219
453,ALLOC,L0B,227.0,0,2219,2219
6,ALLOC,L1,4.0,0,2219,2219
7,COPY_IN,,,0,0,0
12,MOVE,,,30,30,60
1753,FREE,L1,4.0,0,2219,2219
13,CONV,,,30,30,60
1755,FREE,L0B,6.0,0,2219,2219
1751,FREE,L1,2.0,0,2219,2219
456,ALLOC,L0B,228.0,0,2219,2219
18,ALLOC,L1,11.0,0,2219,2219
19,COPY_IN,,,0,0,0
27,MOVE,,,30,60,90
1760,FREE,L1,11.0,0,2219,2219
28,CONV,,,28,60,88
1764,FREE,L0B,15.0,0,2219,2219
459,ALLOC,L0B,229.0,0,2219,2219
20,ALLOC,L1,12.0,0,2219,2219
21,COPY_IN,,,0,0,0
30,MOVE,,,30,90,120
1761,FREE,L1,12.0,0,2219,2219
31,CONV,,,28,88,116
1765,FREE,L0B,16.0,0,2219,2219
1757,FREE,L1,8.0,0,2219,2219
462,ALLOC,L0B,230.0,0,2219,2219
22,ALLOC,L1,13.0,0,2219,2219
23,COPY_IN,,,0,0,0
33,MOVE,,,30,120,150
1762,FREE,L1,13.0,0,2219,2219
34,CONV,,,28,116,144
