NodeId,Op,Type,BufId,Cycles,Start,End
23,ALLOC,UB,11.0,0,2013,2013
32,ALLOC,UB,16.0,0,2025,2025
76,ALLOC,UB,38.0,0,2100,2100
85,ALLOC,UB,43.0,0,2112,2112
125,ALLOC,UB,63.0,0,2185,2185
134,ALLOC,UB,68.0,0,2197,2197
174,ALLOC,UB,88.0,0,2270,2270
183,ALLOC,UB,93.0,0,2282,2282
223,ALLOC,UB,113.0,0,2355,2355
232,ALLOC,UB,118.0,0,2367,2367
272,ALLOC,UB,138.0,0,2440,2440
281,ALLOC,UB,143.0,0,2452,2452
321,ALLOC,UB,163.0,0,2525,2525
330,ALLOC,UB,168.0,0,2537,2537
370,ALLOC,UB,188.0,0,2612,2612
379,ALLOC,UB,193.0,0,2624,2624
419,ALLOC,UB,213.0,0,2624,2624
428,ALLOC,UB,218.0,0,2624,2624
431,ALLOC,UB,220.0,0,2705,2705
433,ALLOC,UB,221.0,0,2705,2705
435,ALLOC,UB,222.0,0,2705,2705
437,ALLOC,UB,223.0,0,2705,2705
439,ALLOC,UB,224.0,0,2705,2705
441,ALLOC,UB,225.0,0,2705,2705
443,ALLOC,UB,226.0,0,2705,2705
445,ALLOC,UB,227.0,0,2717,2717
496,ALLOC,UB,252.0,0,2717,2717
505,ALLOC,UB,257.0,0,2717,2717
508,ALLOC,UB,259.0,0,2792,2792
510,ALLOC,UB,260.0,0,2792,2792
512,ALLOC,UB,261.0,0,2792,2792
514,ALLOC,UB,262.0,0,2792,2792
516,ALLOC,UB,263.0,0,2792,2792
518,ALLOC,UB,264.0,0,2792,2792
520,ALLOC,UB,265.0,0,2792,2792
522,ALLOC,UB,266.0,0,2804,2804
569,ALLOC,UB,289.0,0,2804,2804
578,ALLOC,UB,294.0,0,2804,2804
581,ALLOC,UB,296.0,0,2877,2877
583,ALLOC,UB,297.0,0,2877,2877
585,ALLOC,UB,298.0,0,2877,2877
587,ALLOC,UB,299.0,0,2877,2877
589,ALLOC,UB,300.0,0,2877,2877
591,ALLOC,UB,301.0,0,2877,2877
