NodeId,Op,Type,BufId,Cycles,Start,End
1,ALLOC,L1,1.0,0,671,671
3,COPY_IN,,,0,0,0
2,ALLOC,L1,2.0,0,3620,3620
4,COPY_IN,,,0,0,0
5,ALLOC,L0A,3.0,0,3620,3620
7,MOVE,,,31,0,31
6,ALLOC,L0B,4.0,0,3620,3620
8,MOVE,,,31,31,62
10,ALLOC,L1,5.0,0,3620,3620
12,COPY_IN,,,0,0,0
11,ALLOC,L1,6.0,0,3625,3625
13,COPY_IN,,,0,0,0
14,ALLOC,L0A,7.0,0,3625,3625
16,MOVE,,,31,62,93
15,ALLOC,L0B,8.0,0,3625,3625
17,MOVE,,,31,93,124
19,ALLOC,L1,9.0,0,3625,3625
21,COPY_IN,,,0,0,0
20,ALLOC,L1,10.0,0,3637,3637
22,COPY_IN,,,0,0,0
28,ALLOC,L1,13.0,0,3637,3637
30,COPY_IN,,,0,0,0
29,ALLOC,L1,14.0,0,3645,3645
31,COPY_IN,,,0,0,0
37,ALLOC,L1,17.0,0,3645,3645
39,COPY_IN,,,0,0,0
38,ALLOC,L1,18.0,0,3653,3653
40,COPY_IN,,,0,0,0
46,ALLOC,L1,21.0,0,3653,3653
48,COPY_IN,,,0,0,0
47,ALLOC,L1,22.0,0,3661,3661
49,COPY_IN,,,0,0,0
55,ALLOC,L1,25.0,0,3661,3661
57,COPY_IN,,,0,0,0
56,ALLOC,L1,26.0,0,3669,3669
58,COPY_IN,,,0,0,0
64,ALLOC,L1,29.0,0,3669,3669
66,COPY_IN,,,0,0,0
65,ALLOC,L1,30.0,0,3677,3677
67,COPY_IN,,,0,0,0
75,ALLOC,L1,34.0,0,3687,3687
76,COPY_IN,,,0,0,0
82,ALLOC,L1,37.0,0,3692,3692
83,COPY_IN,,,0,0,0
89,ALLOC,L1,40.0,0,3704,3704
90,COPY_IN,,,0,0,0
96,ALLOC,L1,43.0,0,3712,3712
97,COPY_IN,,,0,0,0
103,ALLOC,L1,46.0,0,3720,3720
104,COPY_IN,,,0,0,0
110,ALLOC,L1,49.0,0,3728,3728
111,COPY_IN,,,0,0,0
117,ALLOC,L1,52.0,0,3736,3736
118,COPY_IN,,,0,0,0
124,ALLOC,L1,55.0,0,3744,3744
125,COPY_IN,,,0,0,0
133,ALLOC,L1,59.0,0,3754,3754
134,COPY_IN,,,0,0,0
140,ALLOC,L1,62.0,0,3759,3759
141,COPY_IN,,,0,0,0
147,ALLOC,L1,65.0,0,3771,3771
148,COPY_IN,,,0,0,0
154,ALLOC,L1,68.0,0,3779,3779
155,COPY_IN,,,0,0,0
161,ALLOC,L1,71.0,0,3787,3787
162,COPY_IN,,,0,0,0
168,ALLOC,L1,74.0,0,3795,3795
169,COPY_IN,,,0,0,0
175,ALLOC,L1,77.0,0,3803,3803
176,COPY_IN,,,0,0,0
182,ALLOC,L1,80.0,0,3811,3811
183,COPY_IN,,,0,0,0
191,ALLOC,L1,84.0,0,3821,3821
192,COPY_IN,,,0,0,0
198,ALLOC,L1,87.0,0,3826,3826
199,COPY_IN,,,0,0,0
205,ALLOC,L1,90.0,0,3838,3838
206,COPY_IN,,,0,0,0
212,ALLOC,L1,93.0,0,3846,3846
213,COPY_IN,,,0,0,0
219,ALLOC,L1,96.0,0,3854,3854
220,COPY_IN,,,0,0,0
226,ALLOC,L1,99.0,0,3862,3862
227,COPY_IN,,,0,0,0
233,ALLOC,L1,102.0,0,3870,3870
234,COPY_IN,,,0,0,0
240,ALLOC,L1,105.0,0,3878,3878
241,COPY_IN,,,0,0,0
249,ALLOC,L1,109.0,0,3888,3888
250,COPY_IN,,,0,0,0
256,ALLOC,L1,112.0,0,3893,3893
257,COPY_IN,,,0,0,0
263,ALLOC,L1,115.0,0,3905,3905
264,COPY_IN,,,0,0,0
270,ALLOC,L1,118.0,0,3913,3913
271,COPY_IN,,,0,0,0
277,ALLOC,L1,121.0,0,3921,3921
278,COPY_IN,,,0,0,0
284,ALLOC,L1,124.0,0,3929,3929
285,COPY_IN,,,0,0,0
291,ALLOC,L1,127.0,0,3937,3937
292,COPY_IN,,,0,0,0
298,ALLOC,L1,130.0,0,3945,3945
299,COPY_IN,,,0,0,0
307,ALLOC,L1,134.0,0,3955,3955
308,COPY_IN,,,0,0,0
314,ALLOC,L1,137.0,0,3960,3960
315,COPY_IN,,,0,0,0
321,ALLOC,L1,140.0,0,3972,3972
322,COPY_IN,,,0,0,0
328,ALLOC,L1,143.0,0,3980,3980
329,COPY_IN,,,0,0,0
335,ALLOC,L1,146.0,0,3988,3988
336,COPY_IN,,,0,0,0
342,ALLOC,L1,149.0,0,3996,3996
343,COPY_IN,,,0,0,0
349,ALLOC,L1,152.0,0,4004,4004
350,COPY_IN,,,0,0,0
356,ALLOC,L1,155.0,0,4012,4012
357,COPY_IN,,,0,0,0
365,ALLOC,L1,159.0,0,4022,4022
366,COPY_IN,,,0,0,0
372,ALLOC,L1,162.0,0,4027,4027
373,COPY_IN,,,0,0,0
379,ALLOC,L1,165.0,0,4039,4039
380,COPY_IN,,,0,0,0
386,ALLOC,L1,168.0,0,4047,4047
387,COPY_IN,,,0,0,0
393,ALLOC,L1,171.0,0,4055,4055
394,COPY_IN,,,0,0,0
400,ALLOC,L1,174.0,0,4063,4063
401,COPY_IN,,,0,0,0
407,ALLOC,L1,177.0,0,4071,4071
408,COPY_IN,,,0,0,0
414,ALLOC,L1,180.0,0,4079,4079
415,COPY_IN,,,0,0,0
423,ALLOC,L1,184.0,0,4090,4090
424,COPY_IN,,,0,0,0
430,ALLOC,L1,187.0,0,4096,4096
431,COPY_IN,,,0,0,0
437,ALLOC,L1,190.0,0,4109,4109
438,COPY_IN,,,0,0,0
444,ALLOC,L1,193.0,0,4118,4118
445,COPY_IN,,,0,0,0
451,ALLOC,L1,196.0,0,4127,4127
452,COPY_IN,,,0,0,0
458,ALLOC,L1,199.0,0,4136,4136
459,COPY_IN,,,0,0,0
465,ALLOC,L1,202.0,0,4145,4145
466,COPY_IN,,,0,0,0
472,ALLOC,L1,205.0,0,4154,4154
473,COPY_IN,,,0,0,0
481,ALLOC,L1,209.0,0,4154,4154
482,COPY_IN,,,0,0,0
488,ALLOC,L1,212.0,0,4154,4154
489,COPY_IN,,,0,0,0
495,ALLOC,L1,215.0,0,4154,4154
496,COPY_IN,,,0,0,0
502,ALLOC,L1,218.0,0,4154,4154
503,COPY_IN,,,0,0,0
